 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.17347568e-07  3.75374812e-09  4.56295626e-01  4.56295626e-01  4.56295626e-01  3.31434917e-09  3.15553322e-09  4.56295626e-01  1.56091432e-07  1.17347568e-07  1.00000000e+00 
 1.18857045e-07  4.56296395e-01  4.56296395e-01  4.56296395e-01  4.56296395e-01  3.31434920e-09  3.15553326e-09  4.56296395e-01  1.56092465e-07  1.18857045e-07  1.00000000e+00 
 1.20851134e-07  3.75374801e-09  3.20501023e-09  3.26677718e-09  3.40983300e-09  4.56294146e-01  3.15553319e-09  4.56294146e-01  1.56089472e-07  1.20851134e-07  1.00000000e+00 
 1.22314226e-07  4.56294863e-01  3.20501026e-09  3.26677722e-09  3.40983303e-09  4.56294863e-01  3.15553318e-09  4.56294863e-01  1.56090414e-07  1.22314226e-07  1.00000000e+00 
 1.23805563e-07  3.75374806e-09  4.56294865e-01  3.26677715e-09  3.40983303e-09  4.56294865e-01  3.15553318e-09  4.56294865e-01  1.56090426e-07  1.23805563e-07  1.00000000e+00 
 1.25308155e-07  4.56295630e-01  4.56295630e-01  3.26677718e-09  3.40983301e-09  4.56295631e-01  3.15553322e-09  4.56295631e-01  1.56091447e-07  1.25308155e-07  1.00000000e+00 
 1.26748844e-07  3.75374806e-09  3.20501026e-09  4.56294873e-01  3.40983303e-09  4.56294873e-01  3.15553318e-09  4.56294873e-01  1.56090436e-07  1.26748844e-07  1.00000000e+00 
 1.28251102e-07  4.56295622e-01  3.20501028e-09  4.56295622e-01  3.40983301e-09  4.56295622e-01  3.15553322e-09  4.56295622e-01  1.56091451e-07  1.28251102e-07  1.00000000e+00 
 1.29756145e-07  3.75374812e-09  4.56295602e-01  4.56295602e-01  3.40983301e-09  4.56295602e-01  3.15553322e-09  4.56295602e-01  1.56091418e-07  1.29756145e-07  1.00000000e+00 
 1.31264891e-07  4.56296366e-01  4.56296366e-01  4.56296366e-01  3.40983303e-09  4.56296366e-01  3.15553326e-09  4.56296366e-01  1.56092434e-07  1.31264891e-07  1.00000000e+00 
 1.32589854e-07  3.75374806e-09  3.20501025e-09  3.26677721e-09  4.56294874e-01  4.56294874e-01  3.15553318e-09  4.56294874e-01  1.56090443e-07  1.32589854e-07  1.00000000e+00 
 1.34068145e-07  4.56295611e-01  3.20501029e-09  3.26677723e-09  4.56295611e-01  4.56295611e-01  3.15553322e-09  4.56295611e-01  1.56091422e-07  1.34068145e-07  1.00000000e+00 
 1.35555375e-07  3.75374811e-09  4.56295594e-01  3.26677718e-09  4.56295594e-01  4.56295594e-01  3.15553322e-09  4.56295594e-01  1.56091403e-07  1.35555375e-07  1.00000000e+00 
 1.37059537e-07  4.56296365e-01  4.56296365e-01  3.26677726e-09  4.56296365e-01  4.56296365e-01  3.15553326e-09  4.56296365e-01  1.56092438e-07  1.37059537e-07  1.00000000e+00 
 1.38491394e-07  3.75374812e-09  3.20501028e-09  4.56295605e-01  4.56295605e-01  4.56295605e-01  3.15553322e-09  4.56295605e-01  1.56091405e-07  1.38491394e-07  1.00000000e+00 
 1.39982205e-07  4.56296350e-01  3.20501025e-09  4.56296350e-01  4.56296350e-01  4.56296351e-01  3.15553331e-09  4.56296351e-01  1.56092409e-07  1.39982205e-07  1.00000000e+00 
 1.41473748e-07  3.75374816e-09  4.56296362e-01  4.56296362e-01  4.56296362e-01  4.56296362e-01  3.15553326e-09  4.56296362e-01  1.56092435e-07  1.41473748e-07  1.00000000e+00 
 1.42971835e-07  4.56297093e-01  4.56297093e-01  4.56297093e-01  4.56297093e-01  4.56297093e-01  3.15553328e-09  4.56297093e-01  1.56093393e-07  1.42971835e-07  1.00000000e+00 
 1.43344515e-07  3.75374801e-09  3.20501023e-09  3.26677718e-09  3.40983300e-09  3.31434912e-09  4.56294164e-01  4.56294164e-01  1.56089491e-07  1.43344515e-07  1.00000000e+00 
 1.44774816e-07  4.56294912e-01  3.20501025e-09  3.26677716e-09  3.40983298e-09  3.31434915e-09  4.56294912e-01  4.56294912e-01  1.56090488e-07  1.44774816e-07  1.00000000e+00 
 1.46233205e-07  3.75374806e-09  4.56294875e-01  3.26677715e-09  3.40983298e-09  3.31434914e-09  4.56294875e-01  4.56294875e-01  1.56090448e-07  1.46233205e-07  1.00000000e+00 
 1.47715639e-07  4.56295626e-01  4.56295627e-01  3.26677724e-09  3.40983307e-09  3.31434917e-09  4.56295627e-01  4.56295627e-01  1.56091442e-07  1.47715639e-07  1.00000000e+00 
 1.49141805e-07  3.75374812e-09  3.20501026e-09  4.56294875e-01  3.40983303e-09  3.31434914e-09  4.56294875e-01  4.56294875e-01  1.56090427e-07  1.49141805e-07  1.00000000e+00 
