 viout#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.35616624e-07  3.32529140e-09  4.58162428e-01  3.64325034e-09  4.58162428e-01  4.58162428e-01  3.45750589e-09  4.58162428e-01  1.59372475e-07  1.35616624e-07  1.00000000e+00 
 1.37295117e-07  4.58163172e-01  4.58163172e-01  3.64325032e-09  4.58163172e-01  4.58163172e-01  3.45750591e-09  4.58163172e-01  1.59373480e-07  1.37295117e-07  1.00000000e+00 
 1.38930560e-07  3.32529140e-09  3.40856150e-09  4.58162408e-01  4.58162408e-01  4.58162408e-01  3.45750589e-09  4.58162408e-01  1.59372442e-07  1.38930560e-07  1.00000000e+00 
 1.40596661e-07  4.58163175e-01  3.40856151e-09  4.58163175e-01  4.58163175e-01  4.58163175e-01  3.45750587e-09  4.58163175e-01  1.59373471e-07  1.40596661e-07  1.00000000e+00 
 1.42133686e-07  3.32529144e-09  4.58163158e-01  4.58163158e-01  4.58163158e-01  4.58163158e-01  3.45750587e-09  4.58163158e-01  1.59373453e-07  1.42133686e-07  1.00000000e+00 
 1.43806524e-07  4.58163909e-01  4.58163910e-01  4.58163910e-01  4.58163909e-01  4.58163909e-01  3.45750594e-09  4.58163909e-01  1.59374462e-07  1.43806524e-07  1.00000000e+00 
 1.44363213e-07  3.32529124e-09  3.40856141e-09  3.64325027e-09  3.27871598e-09  3.40116137e-09  4.58160926e-01  4.58160926e-01  1.59370457e-07  1.44363213e-07  1.00000000e+00 
 1.45964407e-07  4.58161674e-01  3.40856146e-09  3.64325025e-09  3.27871608e-09  3.40116146e-09  4.58161674e-01  4.58161674e-01  1.59371439e-07  1.45964407e-07  1.00000000e+00 
 1.47472598e-07  3.32529126e-09  4.58161678e-01  3.64325030e-09  3.27871613e-09  3.40116140e-09  4.58161678e-01  4.58161678e-01  1.59371443e-07  1.47472598e-07  1.00000000e+00 
 1.49131694e-07  4.58162413e-01  4.58162413e-01  3.64325034e-09  3.27871617e-09  3.40116143e-09  4.58162413e-01  4.58162413e-01  1.59372445e-07  1.49131694e-07  1.00000000e+00 
 1.50764059e-07  3.32529126e-09  3.40856145e-09  4.58161662e-01  3.27871607e-09  3.40116140e-09  4.58161662e-01  4.58161662e-01  1.59371430e-07  1.50764059e-07  1.00000000e+00 
 1.52426132e-07  4.58162400e-01  3.40856150e-09  4.58162400e-01  3.27871623e-09  3.40116143e-09  4.58162400e-01  4.58162400e-01  1.59372427e-07  1.52426132e-07  1.00000000e+00 
 1.53960393e-07  3.32529140e-09  4.58162412e-01  4.58162412e-01  3.27871617e-09  3.40116149e-09  4.58162412e-01  4.58162412e-01  1.59372444e-07  1.53960393e-07  1.00000000e+00 
 1.55631206e-07  4.58163143e-01  4.58163143e-01  4.58163143e-01  3.27871628e-09  3.40116148e-09  4.58163143e-01  4.58163143e-01  1.59373425e-07  1.55631206e-07  1.00000000e+00 
 1.57197661e-07  3.32529133e-09  3.40856146e-09  3.64325031e-09  4.58161692e-01  3.40116141e-09  4.58161692e-01  4.58161692e-01  1.59371467e-07  1.57197661e-07  1.00000000e+00 
 1.58849993e-07  4.58162426e-01  3.40856151e-09  3.64325030e-09  4.58162426e-01  3.40116144e-09  4.58162426e-01  4.58162426e-01  1.59372465e-07  1.58849993e-07  1.00000000e+00 
