 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57129164e-07  4.58721035e-01  3.35532170e-09  3.18245291e-09  3.63888519e-09  4.58721035e-01  4.58721035e-01  4.58721035e-01  1.57129164e-07  7.41873833e-07  1.00000000e+00 
 1.57129056e-07  3.22411977e-09  4.58720972e-01  3.18245289e-09  3.63888518e-09  4.58720972e-01  4.58720972e-01  4.58720972e-01  1.57129056e-07  7.48718577e-07  1.00000000e+00 
 1.57130036e-07  4.58721700e-01  4.58721700e-01  3.18245301e-09  3.63888527e-09  4.58721700e-01  4.58721700e-01  4.58721700e-01  1.57130036e-07  7.56013293e-07  1.00000000e+00 
 1.57129152e-07  3.22411975e-09  3.35532166e-09  4.58721030e-01  3.63888516e-09  4.58721030e-01  4.58721030e-01  4.58721030e-01  1.57129152e-07  7.61907103e-07  1.00000000e+00 
 1.57130137e-07  4.58721768e-01  3.35532166e-09  4.58721768e-01  3.63888527e-09  4.58721768e-01  4.58721768e-01  4.58721768e-01  1.57130137e-07  7.69161375e-07  1.00000000e+00 
 1.57130035e-07  3.22411981e-09  4.58721704e-01  4.58721704e-01  3.63888527e-09  4.58721704e-01  4.58721704e-01  4.58721704e-01  1.57130035e-07  7.76067736e-07  1.00000000e+00 
 1.57131048e-07  4.58722448e-01  4.58722447e-01  4.58722448e-01  3.63888536e-09  4.58722448e-01  4.58722448e-01  4.58722447e-01  1.57131048e-07  7.83369927e-07  1.00000000e+00 
 1.57129145e-07  3.22411972e-09  3.35532169e-09  3.18245296e-09  4.58721023e-01  4.58721023e-01  4.58721023e-01  4.58721023e-01  1.57129145e-07  7.88066473e-07  1.00000000e+00 
 1.57130126e-07  4.58721757e-01  3.35532168e-09  3.18245303e-09  4.58721757e-01  4.58721757e-01  4.58721757e-01  4.58721757e-01  1.57130126e-07  7.95226896e-07  1.00000000e+00 
 1.57130074e-07  3.22411978e-09  4.58721717e-01  3.18245298e-09  4.58721717e-01  4.58721717e-01  4.58721717e-01  4.58721717e-01  1.57130074e-07  8.02071440e-07  1.00000000e+00 
 1.57131051e-07  4.58722452e-01  4.58722452e-01  3.18245303e-09  4.58722452e-01  4.58722452e-01  4.58722452e-01  4.58722452e-01  1.57131051e-07  8.09358880e-07  1.00000000e+00 
 1.57130177e-07  3.22411976e-09  3.35532166e-09  4.58721795e-01  4.58721795e-01  4.58721795e-01  4.58721795e-01  4.58721795e-01  1.57130177e-07  8.15254225e-07  1.00000000e+00 
 1.57131072e-07  4.58722476e-01  3.35532170e-09  4.58722476e-01  4.58722476e-01  4.58722476e-01  4.58722476e-01  4.58722476e-01  1.57131072e-07  8.22482662e-07  1.00000000e+00 
 1.57131057e-07  3.22411979e-09  4.58722444e-01  4.58722444e-01  4.58722444e-01  4.58722444e-01  4.58722444e-01  4.58722444e-01  1.57131057e-07  8.29336244e-07  1.00000000e+00 
 1.57132017e-07  4.58723178e-01  4.58723178e-01  4.58723178e-01  4.58723178e-01  4.58723178e-01  4.58723178e-01  4.58723178e-01  1.57132017e-07  8.36584547e-07  1.00000000e+00 
