 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.56941458e-07  4.48373319e-01  3.25873389e-09  4.48373319e-01  3.31550638e-09  4.48373319e-01  4.48373319e-01  3.25305478e-09  1.56941458e-07  2.74458131e-07  1.00000000e+00 
 1.56941491e-07  3.29172303e-09  4.48373300e-01  4.48373300e-01  3.31550637e-09  4.48373300e-01  4.48373300e-01  3.25305478e-09  1.56941491e-07  2.79609083e-07  1.00000000e+00 
 1.56942779e-07  4.48374285e-01  4.48374285e-01  4.48374285e-01  3.31550642e-09  4.48374285e-01  4.48374285e-01  3.25305471e-09  1.56942779e-07  2.85271227e-07  1.00000000e+00 
 1.56940660e-07  3.29172302e-09  3.25873376e-09  3.26643067e-09  4.48372707e-01  4.48372707e-01  4.48372707e-01  3.25305476e-09  1.56940660e-07  2.89724369e-07  1.00000000e+00 
 1.56941718e-07  4.48373466e-01  3.25873389e-09  3.26643069e-09  4.48373466e-01  4.48373466e-01  4.48373466e-01  3.25305479e-09  1.56941718e-07  2.95248270e-07  1.00000000e+00 
 1.56941528e-07  3.29172303e-09  4.48373379e-01  3.26643069e-09  4.48373379e-01  4.48373379e-01  4.48373379e-01  3.25305467e-09  1.56941528e-07  3.00352724e-07  1.00000000e+00 
 1.56942543e-07  4.48374133e-01  4.48374133e-01  3.26643070e-09  4.48374133e-01  4.48374133e-01  4.48374133e-01  3.25305469e-09  1.56942543e-07  3.06004495e-07  1.00000000e+00 
 1.56941597e-07  3.29172305e-09  3.25873390e-09  4.48373417e-01  4.48373417e-01  4.48373417e-01  4.48373417e-01  3.25305468e-09  1.56941597e-07  3.10968716e-07  1.00000000e+00 
 1.56942582e-07  4.48374159e-01  3.25873380e-09  4.48374159e-01  4.48374159e-01  4.48374159e-01  4.48374159e-01  3.25305481e-09  1.56942582e-07  3.16559749e-07  1.00000000e+00 
 1.56942498e-07  3.29172305e-09  4.48374097e-01  4.48374097e-01  4.48374097e-01  4.48374097e-01  4.48374097e-01  3.25305469e-09  1.56942498e-07  3.21693591e-07  1.00000000e+00 
 1.56943703e-07  4.48374962e-01  4.48374961e-01  4.48374961e-01  4.48374961e-01  4.48374961e-01  4.48374961e-01  3.25305472e-09  1.56943703e-07  3.27343599e-07  1.00000000e+00 
 1.56938605e-07  3.29172297e-09  3.25873383e-09  3.26643063e-09  3.31550630e-09  3.23997196e-09  3.26742602e-09  4.48371163e-01  1.56938605e-07  3.25722965e-07  1.00000000e+00 
 1.56939622e-07  4.48371933e-01  3.25873374e-09  3.26643065e-09  3.31550632e-09  3.23997198e-09  3.26742604e-09  4.48371933e-01  1.56939622e-07  3.30975439e-07  1.00000000e+00 
 1.56939592e-07  3.29172288e-09  4.48371889e-01  3.26643065e-09  3.31550633e-09  3.23997198e-09  3.26742604e-09  4.48371889e-01  1.56939592e-07  3.35918372e-07  1.00000000e+00 
 1.56940583e-07  4.48372656e-01  4.48372656e-01  3.26643057e-09  3.31550636e-09  3.23997201e-09  3.26742596e-09  4.48372656e-01  1.56940583e-07  3.41388727e-07  1.00000000e+00 
 1.56939653e-07  3.29172288e-09  3.25873385e-09  4.48371914e-01  3.31550633e-09  3.23997198e-09  3.26742604e-09  4.48371914e-01  1.56939653e-07  3.46312135e-07  1.00000000e+00 
 1.56940710e-07  4.48372722e-01  3.25873376e-09  4.48372722e-01  3.31550636e-09  3.23997199e-09  3.26742606e-09  4.48372722e-01  1.56940710e-07  3.51830209e-07  1.00000000e+00 
 1.56940517e-07  3.29172301e-09  4.48372598e-01  4.48372598e-01  3.31550635e-09  3.23997199e-09  3.26742606e-09  4.48372598e-01  1.56940517e-07  3.56892116e-07  1.00000000e+00 
 1.56941584e-07  4.48373417e-01  4.48373417e-01  4.48373417e-01  3.31550638e-09  3.23997201e-09  3.26742608e-09  4.48373417e-01  1.56941584e-07  3.62467716e-07  1.00000000e+00 
 1.56939565e-07  3.29172301e-09  3.25873387e-09  3.26643066e-09  4.48371860e-01  3.23997188e-09  3.26742605e-09  4.48371860e-01  1.56939565e-07  3.66956783e-07  1.00000000e+00 
 1.56940683e-07  4.48372702e-01  3.25873376e-09  3.26643067e-09  4.48372702e-01  3.23997199e-09  3.26742606e-09  4.48372702e-01  1.56940683e-07  3.72428303e-07  1.00000000e+00 
 1.56940618e-07  3.29172301e-09  4.48372636e-01  3.26643067e-09  4.48372636e-01  3.23997199e-09  3.26742606e-09  4.48372636e-01  1.56940618e-07  3.77502715e-07  1.00000000e+00 
 1.56941662e-07  4.48373408e-01  4.48373408e-01  3.26643069e-09  4.48373408e-01  3.23997201e-09  3.26742608e-09  4.48373408e-01  1.56941662e-07  3.83127997e-07  1.00000000e+00 
 1.56940579e-07  3.29172302e-09  3.25873376e-09  4.48372670e-01  4.48372670e-01  3.23997199e-09  3.26742606e-09  4.48372670e-01  1.56940579e-07  3.88067406e-07  1.00000000e+00 
 1.56941536e-07  4.48373391e-01  3.25873379e-09  4.48373391e-01  4.48373391e-01  3.23997202e-09  3.26742598e-09  4.48373391e-01  1.56941536e-07  3.93628994e-07  1.00000000e+00 
