 v-sweep         i(viout)        v(vout)        
 5.00000000e-02  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323065e-07  9.33052330e-08  5.00000000e-02 
 6.00000000e-02  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323062e-07  9.31057769e-08  6.00000000e-02 
 7.00000000e-02  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323064e-07  9.29070690e-08  7.00000000e-02 
 8.00000000e-02  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  6.24292001e-01  3.29202939e-09  5.94323074e-07  9.27091065e-08  8.00000000e-02 
 9.00000000e-02  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323069e-07  9.25118497e-08  9.00000000e-02 
 1.00000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323065e-07  9.23153192e-08  1.00000000e-01 
 1.10000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202951e-09  5.94323068e-07  9.21194893e-08  1.10000000e-01 
 1.20000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323071e-07  9.19243361e-08  1.20000000e-01 
 1.30000000e-01  6.24292000e-01  6.24292000e-01  6.24292001e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202940e-09  5.94323072e-07  9.17298637e-08  1.30000000e-01 
 1.40000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323062e-07  9.15360548e-08  1.40000000e-01 
 1.50000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323063e-07  9.13429004e-08  1.50000000e-01 
 1.60000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323070e-07  9.11503975e-08  1.60000000e-01 
 1.70000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  9.09585147e-08  1.70000000e-01 
 1.80000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  9.07672690e-08  1.80000000e-01 
 1.90000000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323068e-07  9.05766280e-08  1.90000000e-01 
 2.00000000e-01  6.24292000e-01  6.24292000e-01  6.24292001e-01  6.24292000e-01  6.24292000e-01  6.24292000e-01  3.29202939e-09  5.94323072e-07  9.03866004e-08  2.00000000e-01 
 2.10000000e-01  6.24291999e-01  6.24291998e-01  6.24291999e-01  6.24291998e-01  6.24291998e-01  6.24291998e-01  3.29202939e-09  5.94323061e-07  9.01971471e-08  2.10000000e-01 
 2.20000000e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  6.24291999e-01  3.29202939e-09  5.94323062e-07  9.00082955e-08  2.20000000e-01 
