 vbias#branch    v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(vbias)        i(viout)        v(vout)        
 1.57850022e-07  3.52350747e-09  4.50296899e-01  4.50296898e-01  4.50296898e-01  4.50296898e-01  3.45527855e-09  4.50296898e-01  1.57850022e-07  1.34166640e-07  1.00000000e+00 
 1.57850996e-07  4.50297613e-01  4.50297613e-01  4.50297613e-01  4.50297613e-01  4.50297613e-01  3.45527862e-09  4.50297613e-01  1.57850996e-07  1.35725642e-07  1.00000000e+00 
 1.57847056e-07  3.52350738e-09  3.30163070e-09  3.22304046e-09  3.29632551e-09  3.52483574e-09  4.50294683e-01  4.50294683e-01  1.57847056e-07  1.35239645e-07  1.00000000e+00 
 1.57848001e-07  4.50295404e-01  3.30163074e-09  3.22304043e-09  3.29632556e-09  3.52483582e-09  4.50295404e-01  4.50295404e-01  1.57848001e-07  1.36711520e-07  1.00000000e+00 
 1.57848045e-07  3.52350740e-09  4.50295414e-01  3.22304043e-09  3.29632556e-09  3.52483582e-09  4.50295414e-01  4.50295414e-01  1.57848045e-07  1.38126452e-07  1.00000000e+00 
 1.57849039e-07  4.50296167e-01  4.50296167e-01  3.22304048e-09  3.29632565e-09  3.52483594e-09  4.50296167e-01  4.50296167e-01  1.57849039e-07  1.39660287e-07  1.00000000e+00 
 1.57847970e-07  3.52350740e-09  3.30163074e-09  4.50295372e-01  3.29632556e-09  3.52483582e-09  4.50295371e-01  4.50295372e-01  1.57847970e-07  1.41133924e-07  1.00000000e+00 
 1.57849049e-07  4.50296170e-01  3.30163079e-09  4.50296170e-01  3.29632562e-09  3.52483592e-09  4.50296170e-01  4.50296170e-01  1.57849049e-07  1.42670075e-07  1.00000000e+00 
 1.57849043e-07  3.52350744e-09  4.50296178e-01  4.50296178e-01  3.29632562e-09  3.52483592e-09  4.50296178e-01  4.50296178e-01  1.57849043e-07  1.44115347e-07  1.00000000e+00 
 1.57850041e-07  4.50296912e-01  4.50296912e-01  4.50296912e-01  3.29632573e-09  3.52483600e-09  4.50296912e-01  4.50296912e-01  1.57850041e-07  1.45665723e-07  1.00000000e+00 
 1.57848089e-07  3.52350741e-09  3.30163075e-09  3.22304043e-09  4.50295470e-01  3.52483583e-09  4.50295470e-01  4.50295470e-01  1.57848089e-07  1.46731821e-07  1.00000000e+00 
