 v-sweep         i(viout)        v(vout)        
 7.10000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.63278551e-07  7.10000000e-01 
 7.20000000e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464864e-01  6.76464863e-01  6.76464864e-01  3.25854698e-09  1.16964321e-06  2.62763314e-07  7.20000000e-01 
 7.30000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.62248749e-07  7.30000000e-01 
 7.40000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854709e-09  1.16964321e-06  2.61734876e-07  7.40000000e-01 
 7.50000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.61221670e-07  7.50000000e-01 
 7.60000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.60709137e-07  7.60000000e-01 
 7.70000000e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  6.76464863e-01  3.25854698e-09  1.16964321e-06  2.60197267e-07  7.70000000e-01 
 7.80000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.59686039e-07  7.80000000e-01 
 7.90000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964321e-06  2.59175470e-07  7.90000000e-01 
 8.00000000e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  6.76464861e-01  3.25854698e-09  1.16964320e-06  2.58665536e-07  8.00000000e-01 
 8.10000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964321e-06  2.58156237e-07  8.10000000e-01 
 8.20000000e-01  6.76464861e-01  6.76464861e-01  6.76464862e-01  6.76464862e-01  6.76464861e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.57647550e-07  8.20000000e-01 
 8.30000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854698e-09  1.16964320e-06  2.57139498e-07  8.30000000e-01 
 8.40000000e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  6.76464862e-01  3.25854709e-09  1.16964320e-06  2.56632050e-07  8.40000000e-01 
